file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
targetterms2.scm,30.68233300001566,72800,True,True,19.240749999994478,14288,True,True,116.70887499997207,42732,True,True,6.065713394748415,3.8037809901845634
targetterms6.scm,30.208083999980317,72800,True,True,19.368124999971315,14368,True,True,132.02233300000898,42992,True,True,6.816474645852632,4.370430544356769
targetterms8.scm,18.94966699995848,72448,True,True,19.28216600003907,13984,True,True,53.75804199996992,36960,True,True,2.787966974242468,2.8368858407953925
thisthat.scm,32.56699999997181,73776,True,True,32.00408399999333,14288,True,True,104.85866700003044,37800,True,True,3.2764151912628496,3.219782816965677
tickle-unique.scm,19.59016600000041,72432,True,True,17.948624999974072,14048,True,True,53.105791999996654,37472,True,True,2.9587665907596468,2.7108393058024904
timestamping.scm,191.40183299998625,73872,True,True,191.8752500000096,15344,True,True,1187.1465419999936,94596,True,True,6.187074893713151,6.2023781245610055
trust-anchor.scm,20.094041999982437,72000,True,True,19.528416000014204,13728,True,True,48.374707999983,35952,True,True,2.4771444852438527,2.4074154916181265
ugen-at.scm,32.14079200000697,72832,True,True,30.978042000015193,14384,True,True,96.3331670000116,38016,True,True,3.109724204001155,2.9972244305613476
ugo.scm,17.940791999990324,72112,True,True,19.290833000013663,13760,True,True,66.54095800001869,37160,True,True,3.449356386008399,3.708919762296702
uncarried_keys.scm,19.822665999981837,73776,True,True,19.479249999960757,14320,True,True,64.13400000002412,37512,True,True,3.2924265564718005,3.2353872077591825
unilateral.scm,19.07499999998663,72768,True,True,19.465583999988212,14432,True,True,54.39629199997853,37400,True,True,2.7944854878236107,2.8517060026221053
uniq-at.scm,29.795999999976175,72736,True,True,29.505458999949497,14352,True,True,95.50833399998737,38048,True,True,3.2369716397277823,3.2054079071037638
uniq-gen-test.scm,19.570957999974326,72288,True,True,19.36225000002878,13904,True,True,49.274374999981774,36720,True,True,2.5448682358666237,2.5177293313922813
uo.scm,19.30191700000705,72128,True,True,19.331499999964308,13872,True,True,47.4251660000391,36024,True,True,2.4532584641712574,2.4570184401902555
wang-hash.scm,226.46579100000963,74912,True,True,351.13729099998636,15440,True,True,793.0404589999966,45184,True,True,2.2584911353093156,3.501811269146442
wang-key-hash.scm,271.1921250000273,75968,True,True,420.0464580000016,16544,True,True,954.7976669999798,46408,True,True,2.273076343855222,3.5207425989964998
weird.scm,20.52158399999371,72336,True,True,20.371082999986356,13920,True,True,51.83479099997612,36712,True,True,2.5445279958856797,2.5258669603668027
wonthull.scm,28.545749999977943,72816,True,True,20.711708000021645,14400,True,True,88.54608300003974,40780,True,True,4.275170497766153,3.101900738292326
wonthull2.scm,253.19641700002649,89504,True,True,1142.0477910000386,26800,True,True,140146.830583,4364316,True,True,122.71538169193417,553.5103231061336
wonthull3.scm,73.94387499994082,75072,True,True,81.87583400001586,15392,True,True,960.9404999999924,83748,True,True,11.73655831096397,12.995538846196004
woolam.scm,42.28762500008543,73824,True,True,56.52304200009439,14320,True,True,337.0244590000766,39180,True,True,5.962602985867494,7.969812894419958
yahalom-6.3.6.scm,77.9419579999967,74000,True,True,119.2303750000292,14288,True,True,625.2025000000003,39760,True,True,5.243651208845457,8.0213856059406
yahalom-forward.scm,129.05549999993582,74976,True,True,231.53704100002415,15360,True,True,2097.8632920000564,73020,True,True,9.060594723588256,16.255512488821473
yahalom.scm,103.80866599996352,75120,True,True,178.20749999998498,16336,True,True,1859.9221660000467,72896,True,True,10.436834398104477,17.91682946778933
yes-or-no.scm,19.198458999994727,72608,True,True,19.20412499998747,14288,True,True,57.16150000000653,36768,True,True,2.976521971193367,2.9774004257332436
